example_id                                        | status | run_time        |
------------------------------------------------- | ------ | --------------- |
./spec/action_component/base_spec.rb[1:1:1]       | passed | 0.01416 seconds |
./spec/action_component/base_spec.rb[1:2:1]       | passed | 0.00014 seconds |
./spec/action_component/base_spec.rb[1:3:1]       | passed | 0.00195 seconds |
./spec/action_component/base_spec.rb[1:4:1]       | passed | 0.00243 seconds |
./spec/action_component/constraints_spec.rb[1:1]  | passed | 0.00008 seconds |
./spec/action_component/constraints_spec.rb[1:2]  | passed | 0.00021 seconds |
./spec/action_component/constraints_spec.rb[1:3]  | passed | 0.00013 seconds |
./spec/action_component/constraints_spec.rb[1:4]  | passed | 0.00021 seconds |
./spec/action_component/elements_spec.rb[1:1:1]   | passed | 0.00015 seconds |
./spec/action_component/elements_spec.rb[1:2:1]   | passed | 0.00012 seconds |
./spec/action_component/elements_spec.rb[1:3:1]   | passed | 0.00014 seconds |
./spec/action_component/elements_spec.rb[1:3:2]   | passed | 0.00366 seconds |
./spec/action_component/elements_spec.rb[1:4:1]   | passed | 0.00013 seconds |
./spec/action_component/elements_spec.rb[1:5:1:1] | passed | 0.00041 seconds |
./spec/action_component/elements_spec.rb[1:5:2:1] | passed | 0.00014 seconds |
./spec/action_component/elements_spec.rb[1:5:3:1] | passed | 0.00033 seconds |
./spec/action_component/elements_spec.rb[1:5:4:1] | passed | 0.00025 seconds |
./spec/action_component/elements_spec.rb[1:5:5:1] | passed | 0.00033 seconds |
./spec/action_component/elements_spec.rb[1:5:6:1] | passed | 0.00014 seconds |
